Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,,2023,,,,,,,,,"0,49",,"6,10","19,91","12,33","24,94","393,42","34,27","51,00","32,81","8,34","30,64","27,56",,,,,,,,,,,,,,ZOETIS,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Zoetis_logo.svg/1280px-Zoetis_logo.svg.png,2026,Santé,,"28,21","77,56","158,85","129,54","-0,51","12,21","1,81","2,32","1,80",,"16,41","9,08","440,69","21,35","21,50","39,00"
ASML,,2022,,,,,,,,,"0,62",,"5,80","14,14","11,20","17,94","394,59","35,65","41,96","30,70","18,10","41,01","21,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,,2021,,,,,,,,,"0,68",,"5,50","14,36","11,56","17,03","402,60","49,30","35,66","35,12","24,23","38,31","18,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,,2020,,,,,,,,,"1,07",,"2,75","8,49","11,58","10,80","416,51","46,88","20,59","28,98","8,75","32,37","13,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,,2019,,,,,,,,,"1,03",,"2,40","6,16","7,87","7,66","419,81","42,89","16,93","23,61","5,95","38,96","11,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASML,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,https://upload.wikimedia.org/wikipedia/fr/6/6d/Logo_Taiwan_Semiconductor_Manufacturing_Company.svg,2026,Technologie,,"-1,58","435,63","188,82","175,53","1,31","41,53","0,40","0,53",,,"6,56","16,27","5,19","31,77","30,47","53,89","6,76",,"122,54",NYSE:TSM,"18,81","20,81","1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2025,,,,,,,,,"0,40",,"2,78","10,49","6,56","16,24","5,19","28,59","30,38","50,82","6,67","26,18","122,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2024,,,,,,,,,"0,52",,"2,13","6,87","6,18","11,92","5,19","28,03","24,00","45,72","5,59","30,18","90,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMC,,2023,,,,,,,,,"0,67",,"1,61","5,12","6,03","8,99","5,19","20,05","20,10","42,62","2,36","31,10","69,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
